V1,V2,V3,V4,V5,V6,all_text.df
8.823 kr/md,Ubegrænset,Lejlighed,Risskov,77 m²,2 værelser,"Lejlighed, Forteledet, 8240 Risskov, etage: st.th.                          Antal værelser: 2  Antal m2: 77  Husleje. 8.823 kr.  Indskud: 52.938 kr.  Post nummer: 8240  By: Risskov                                                                                                                                    Energimærke:                                                                                                  Forudbetalt leje: Kontakt udlejer                                  Depositum: 52.938                                  A/C-forbrug: 540                              Ledig: 1. marts 2019                                  Indrykket: 16. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1495838"
5.576 kr/md,Ubegrænset,Lejlighed,Kolind,73 m²,3 værelser,"Lejlighed, Bredgade, 8560 Kolind.                          Antal værelser: 3  Antal m2: 73  Husleje. 5.576 kr.  Indskud: 18.500 kr.  Post nummer: 8560  By: Kolind  Denne bolig er almennyttig, og boligselskabet kan kræve opskrivning for at kunne søge den.                                                                                                                                                                                      Forudbetalt leje: Kontakt udlejer                                  Depositum: 18.500                                  A/C-forbrug: Kontakt udlejer                              Ledig: Straks                                  Indrykket: 16. februar 2019                              Husdyr tilladt Ét husdyr tilladt                              Sagsnummer: 1489064"
11.905 kr/md,Ubegrænset,Lejlighed,Aarhus C,106 m²,3 værelser,"Lejlighed, Ankersgade, 8000 Aarhus C, etage: 3.                          Antal værelser: 3  Antal m2: 106  Husleje. 11.905 kr.  Indskud: 35.700 kr.  Post nummer: 8000  By: Aarhus C                                                                                                                                            Delevenlig                                                                                                                        Forudbetalt leje: 35.700                                  Depositum: 35.700                                  A/C-forbrug: 600                              Ledig: Straks                                  Indrykket: 16. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1501926"
14.851 kr/md,Ubegrænset,Lejlighed,Aarhus N,122 m²,4 værelser,"Lejlighed, Olof Palmes Allé, 8200 Aarhus N, etage: 4. tv.                          Antal værelser: 4  Antal m2: 122  Husleje. 14.851 kr.  Indskud: 43.986 kr.  Post nummer: 8200  By: Aarhus N                                                                                                                                    Energimærke:                                                                                                  Forudbetalt leje: 14.662                                  Depositum: 43.986                                  A/C-forbrug: 1.375                              Ledig: 1. marts 2019                                  Indrykket: 16. februar 2019                              Husdyr tilladt                               Sagsnummer: 1501918"
10.494 kr/md,Ubegrænset,Lejlighed,Aarhus N,86 m²,3 værelser,"Lejlighed, Katrinebjergvej, 8200 Aarhus N, etage: 1. tv.                          Antal værelser: 3  Antal m2: 86  Husleje. 10.494 kr.  Indskud: 31.437 kr.  Post nummer: 8200  By: Aarhus N                                                                                                                                    Energimærke:                                                                                                  Forudbetalt leje: 31.437                                  Depositum: 31.437                                  A/C-forbrug: 630                              Ledig: 15. marts 2019                                  Indrykket: 28. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1505769"
11.605 kr/md,Ubegrænset,Lejlighed,Aarhus N,79 m²,3 værelser,"Lejlighed, Katrinebjergvej, 8200 Aarhus N, etage: 7. th.                          Antal værelser: 3  Antal m2: 79  Husleje. 11.605 kr.  Indskud: 34.770 kr.  Post nummer: 8200  By: Aarhus N                                                                                                                                    Energimærke:                                                                                                  Forudbetalt leje: 34.770                                  Depositum: 34.770                                  A/C-forbrug: 650                              Ledig: 15. marts 2019                                  Indrykket: 28. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1497924"
7.463 kr/md,Ubegrænset,Lejlighed,Kolind,108 m²,4 værelser,"Lejlighed, Drasbeksgade, 8560 Kolind.                          Antal værelser: 4  Antal m2: 108  Husleje. 7.463 kr.  Indskud: 26.200 kr.  Post nummer: 8560  By: Kolind  Denne bolig er almennyttig, og boligselskabet kan kræve opskrivning for at kunne søge den.                                                                                                                                                                                      Forudbetalt leje: Kontakt udlejer                                  Depositum: 26.200                                  A/C-forbrug: Kontakt udlejer                              Ledig: Straks                                  Indrykket: 16. februar 2019                              Husdyr tilladt Ét husdyr tilladt                              Sagsnummer: 1408611"
3.000 kr/md,Ubegrænset,Lejlighed,Randers C,49 m²,1 værelser,"Lejlighed, Østervold, 8900 Randers C, etage: 1. dør 5.                          Antal værelser: 1  Antal m2: 49  Husleje. 3.000 kr.  Post nummer: 8900  By: Randers C                                                                                                                                                                                      Forudbetalt leje: 6.000                                  Depositum: 9.000                                  A/C-forbrug: 325                              Ledig: Straks                                  Indrykket: 16. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1505969"
3.550 kr/md,Ubegrænset,Lejlighed,Randers NØ,72 m²,3 værelser,"Lejlighed, Gyldenlakvej, 8930 Randers NØ, etage: ST MF.                          Antal værelser: 3  Antal m2: 72  Husleje. 3.550 kr.  Post nummer: 8930  By: Randers NØ                                                                                                                                            Delevenlig                                                                                                                        Forudbetalt leje: 7.100                                  Depositum: 10.650                                  A/C-forbrug: 700                              Ledig: Straks                                  Indrykket: 16. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1505968"
4.500 kr/md,Ubegrænset,Værelse,Aarhus C,10 m²,1 værelser,"Værelse, Thit Jensens Gade, 8000 Aarhus C.                          Jeg har fået fat i en lækker 5-værelses lejlighed på 140m2 i Århus Ø, og søger derfor roomies. Huslejen ligger på 4500,- inkl. aconto varme. El og vand afregnes separat. Overtagelse sker pr. 1/3 (muligvis 15/3). Depositum vil være 3 måneders husleje samt 1 måneds forudbetalt leje. Lejligheden er på 8. etage, så der er en fantastisk udsigt over hele havnen. Der er et stort fælles køkken-alrum, to badeværelser med bad, vaskemaskine, tørretumbler og opvaskemaskine. Udover dette er der to altaner, hvoraf der er en udgang fra det ene værelse. Der er også inkluderet skabe på alle værelser. Bus 23 går mellem Århus ø og rutebilsstationen hver 30. minut, men ellers er der ikke længere end at man kan cykle til det meste. Lidt om mig: Mit navn er Heidi og jeg er 21 år gammel. Lige nu arbejder jeg, men skal starte på studie til sommer. Jeg ser gerne, du er mellem 20-25 og ikke fester for ofte, samt kan finde ud af at gøre rent en gang i mellem. Hvis du er interesseret i et lille ""kollektiv"" og masser af samvær, så kontakt mig gerne.                                                                                                                                                                                      Forudbetalt leje: 0                                  Depositum: 13.500                                  A/C-forbrug: Kontakt udlejer                              Ledig: 1. marts 2019                                  Indrykket: 15. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1505218"
13.015 kr/md,Ubegrænset,Lejlighed,Viby J,113 m²,4 værelser,"Lejlighed, Christian X's Vej, 8260 Viby J, etage: 2. th.                          Antal værelser: 4  Antal m2: 113  Husleje. 13.015 kr.  Indskud: 39.046 kr.  Post nummer: 8260  By: Viby J                                                                                                                                    Energimærke:                                                                                                  Forudbetalt leje: 13.015                                  Depositum: 39.046                                  A/C-forbrug: 424                              Ledig: 15. april 2019                                  Indrykket: 15. februar 2019                              Husdyr tilladt                               Sagsnummer: 1505960"
10.291 kr/md,Ubegrænset,Lejlighed,Lystrup,110 m²,4 værelser,"Lejlighed, Abildhaven, 8520 Lystrup, etage: st.                          Antal værelser: 4  Antal m2: 110  Husleje. 10.291 kr.  Indskud: 30.803 kr.  Post nummer: 8520  By: Lystrup                                                                                                                                                                                      Forudbetalt leje: 10.268                                  Depositum: 30.803                                  A/C-forbrug: Kontakt udlejer                              Ledig: 1. juni 2019                                  Indrykket: 15. februar 2019                              Husdyr tilladt                               Sagsnummer: 1505940"
10.855 kr/md,Ubegrænset,Lejlighed,Aarhus N,86 m²,3 værelser,"Lejlighed, Katrinebjergvej, 8200 Aarhus N, etage: 5. tv.                          Antal værelser: 3  Antal m2: 86  Husleje. 10.855 kr.  Indskud: 32.520 kr.  Post nummer: 8200  By: Aarhus N                                                                                                                                    Energimærke:                                                                                                  Forudbetalt leje: 32.520                                  Depositum: 32.520                                  A/C-forbrug: 380                              Ledig: 15. marts 2019                                  Indrykket: 28. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1448206"
8.554 kr/md,Ubegrænset,Lejlighed,Viby J,67 m²,3 værelser,"Lejlighed, Drosbjerg, 8260 Viby J, etage: 1. tv.                          Antal værelser: 3  Antal m2: 67  Husleje. 8.554 kr.  Post nummer: 8260  By: Viby J  Kontoret har åbent mandag-torsdag fra 09.00 - 16.00 og fredag fra 09.00 - 15.00                                                                                                                                                                                      Forudbetalt leje: Kontakt udlejer                                  Depositum: Kontakt udlejer                                  A/C-forbrug: 350                              Ledig: Straks                                  Indrykket: 15. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1495782"
12.950 kr/md,Ubegrænset,Lejlighed,Aarhus C,116 m²,3 værelser,"Lejlighed, Ryesgade, 8000 Aarhus C, etage: 2  tv.                          Beliggende ved Ryesgade/Banegårdspladsen - midt i Aarhus C.   Charmerende og højloftet herskabslejlighed med bl.a. stuklofter og plankegulve. Lejligheden byder på central entré, hvorfra der er adgang til samlige lejlighedens rum.   Endvidere stue, soveværelse, børneværelse/kontor, flot badeværelse med bruseniche og vaskesøjle samt pænt køkken med spiseplads og alt i hårde hvidevarer.   Flot og velholdt ejendom med dørtelefon, elevator og charmerende trappeopgang.   Du har her muligheden for at bo i yderst charmerende herskabslejlighed og samtidig midt i Aarhus C.                                                                                                                                                                                      Forudbetalt leje: 12.950                                  Depositum: 38.850                                  A/C-forbrug: 1.485                              Ledig: Straks                                  Indrykket: 15. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1485306"
10.500 kr/md,Ubegrænset,Lejlighed,Åbyhøj,87 m²,3 værelser,"Lejlighed, Søren Frichs Vej, 8230 Åbyhøj, etage: st.                          Lejlighederne er alle indrettet med store vinduespartier, der sikrer et godt lysindfald og indeholde køkken- og badeelementer i et stilrent design fra Invita samt hårde hvidevare fra Siemens.   Erdahus dækker ethvert behov, da der både findes lejligheder med 2-, 3- og 4-værelser.   Til lejlighederne hører enten egen altan eller privat terrasse, hvor der taget hensyn til mest muligt lys og udsyn mod det grønne område i midten samt Brabrandstien mod syd.   Med en lejlighed i Åbyen vil du blive en del af et nyt boligområde tæt på Aarhus C, dagligvarebutikker og institutioner.                                                                                                                                            Se plantegning                                    Forudbetalt leje: 10.500                                  Depositum: 31.500                                  A/C-forbrug: Kontakt udlejer                              Ledig: Straks                                  Indrykket: 15. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1495667"
10.950 kr/md,Ubegrænset,Lejlighed,Åbyhøj,85 m²,3 værelser,"Lejlighed, Søren Frichs Vej, 8230 Åbyhøj, etage: 2 2.                          Lejlighederne er alle indrettet med store vinduespartier, der sikrer et godt lysindfald og indeholde køkken- og badeelementer i et stilrent design fra Invita samt hårde hvidevare fra Siemens.   Erdahus dækker ethvert behov, da der både findes lejligheder med 2-, 3- og 4-værelser.   Til lejlighederne hører enten egen altan eller privat terrasse, hvor der taget hensyn til mest muligt lys og udsyn mod det grønne område i midten samt Brabrandstien mod syd.   Med en lejlighed i Åbyen vil du blive en del af et nyt boligområde tæt på Aarhus C, dagligvarebutikker og institutioner.                                                                                                                                            Se plantegning                                    Forudbetalt leje: 10.950                                  Depositum: 32.850                                  A/C-forbrug: Kontakt udlejer                              Ledig: Straks                                  Indrykket: 15. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1453622"
10.500 kr/md,Ubegrænset,Lejlighed,Åbyhøj,89 m²,3 værelser,"Lejlighed, Søren Frichs Vej, 8230 Åbyhøj, etage: st.                          Lejlighederne er alle indrettet med store vinduespartier, der sikrer et godt lysindfald og indeholde køkken- og badeelementer i et stilrent design fra Invita samt hårde hvidevare fra Siemens.   Erdahus dækker ethvert behov, da der både findes lejligheder med 2-, 3- og 4-værelser.   Til lejlighederne hører enten egen altan eller privat terrasse, hvor der taget hensyn til mest muligt lys og udsyn mod det grønne område i midten samt Brabrandstien mod syd.   Med en lejlighed i Åbyen vil du blive en del af et nyt boligområde tæt på Aarhus C, dagligvarebutikker og institutioner.                                                                                                                                            Se plantegning                                    Forudbetalt leje: 10.500                                  Depositum: 31.500                                  A/C-forbrug: Kontakt udlejer                              Ledig: Straks                                  Indrykket: 15. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1453476"
10.353 kr/md,Ubegrænset,Lejlighed,Aarhus C,82 m²,3 værelser,"Lejlighed, Ceresbyen, 8000 Aarhus C, etage: 3. 1.                          Antal værelser: 3  Antal m2: 82  Husleje. 10.353 kr.  Indskud: 31.059 kr.  Post nummer: 8000  By: Aarhus C                                                                                                                                                                                      Forudbetalt leje: 10.353                                  Depositum: 31.059                                  A/C-forbrug: 170                              Ledig: 1. marts 2019                                  Indrykket: 15. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1486036"
10.694 kr/md,Ubegrænset,Lejlighed,Aarhus C,87 m²,3 værelser,"Lejlighed, Ceresbyen, 8000 Aarhus C, etage: 5. 1.                          Antal værelser: 3  Antal m2: 87  Husleje. 10.694 kr.  Indskud: 32.082 kr.  Post nummer: 8000  By: Aarhus C                                                                                                                                                                                      Forudbetalt leje: 10.694                                  Depositum: 32.082                                  A/C-forbrug: 170                              Ledig: 1. marts 2019                                  Indrykket: 15. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1486028"
9.208 kr/md,Ubegrænset,Lejlighed,Viby J,85 m²,3 værelser,"Lejlighed, Holme Møllevej, 8260 Viby J, etage: st.th.                          Antal værelser: 3  Antal m2: 85  Husleje. 9.208 kr.  Indskud: 55.248 kr.  Post nummer: 8260  By: Viby J                                                                                                                                    Energimærke:                                                                                                  Forudbetalt leje: Kontakt udlejer                                  Depositum: 55.248                                  A/C-forbrug: 550                              Ledig: Efter aftale                                  Indrykket: 15. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1495702"
7.700 kr/md,Ubegrænset,Lejlighed,Aarhus N,49 m²,2 værelser,"Lejlighed, Jens Baggesens Vej, 8200 Aarhus N, etage: st 10.                          Nu udbydes denne fine 2 værelses lejlighed med god beliggendhed.   Lejligheden er på 49 kvm., som er fordelt over 2 værelser, et køkken samt et badeværelse.   Begge værelser indeholder store vinduespartier, der sikrer et godt lysindfald. Derudover er der fra begge værelser udgang til en stor altan.   God beliggenhed tæt på Storcenter Nord, fitness world samt ringgaden.    Såfremt at lejemålet kunne have din interesse, er du velkommen til at kontakte os.                                                                                                                                            Se plantegning                                    Forudbetalt leje: 7.700                                  Depositum: 23.100                                  A/C-forbrug: 640                              Ledig: 19. maj 2019                                  Indrykket: 15. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1505891"
3.996 kr/md,Ubegrænset,Lejlighed,Randers C,51 m²,2 værelser,"Lejlighed, Søren Møllers Gade, 8900 Randers C.                          Antal værelser: 2  Antal m2: 51  Husleje. 3.996 kr.  Indskud: 11.988 kr.  Post nummer: 8900  By: Randers C                                                                                                                                                                                      Forudbetalt leje: 3.996                                  Depositum: 11.988                                  A/C-forbrug: 800                              Ledig: 1. juni 2019                                  Indrykket: 15. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1505890"
4.995 kr/md,Ubegrænset,Lejlighed,Randers C,72 m²,3 værelser,"Lejlighed, Søren Møllers Gade, 8900 Randers C.                          Antal værelser: 3  Antal m2: 72  Husleje. 4.995 kr.  Indskud: 14.985 kr.  Post nummer: 8900  By: Randers C                                                                                                                                                                                      Forudbetalt leje: 4.995                                  Depositum: 14.985                                  A/C-forbrug: 900                              Ledig: 15. april 2019                                  Indrykket: 15. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1505889"
4.335 kr/md,Ubegrænset,Lejlighed,Randers C,60 m²,2 værelser,"Lejlighed, Hobrovej, 8900 Randers C, etage: 4.tv.                          Hyggelig 2 værelses lejlighed på 60 kvm. beliggende på 4.sal. lejligheden er med nyere køkken og badeværelse samt trægulve. Endvidere er der adgang til fælles vaskeri og gårdhave.                                                                                                                                                                                      Forudbetalt leje: 13.005                                  Depositum: Kontakt udlejer                                  A/C-forbrug: 700                              Ledig: Straks                                  Indrykket: 15. februar 2019                              Muligvis tilladt - spørg udlejer                               Sagsnummer: 1365737"
5.851 kr/md,Ubegrænset,Lejlighed,Skanderborg,64 m²,2 værelser,"Lejlighed, Banegårdsvej, 8660 Skanderborg, etage: 01.                          Antal værelser: 2  Antal m2: 64  Husleje. 5.851 kr.  Indskud: 17.553 kr.  Post nummer: 8660  By: Skanderborg  Hvis du er interesseret i lejemålet eller vil se flere detaljer, kan du klikke på knappen til højre.                                                                                                                                                                                      Forudbetalt leje: 12.447                                  Depositum: 17.553                                  A/C-forbrug: 1.060                              Ledig: Straks                                  Indrykket: 15. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1449839"
3.663 kr/md,1 år og mere,Værelse,Aarhus V,16 m²,1 værelser,"Værelse, Fuglebakkevej, 8210 Aarhus V.                          Jeg har fra 1 april et ledigt værelse i Århus vest, 3 km fra centrum, 1 km fra Botanisk have.  Værelset er stort og lyst og med udsigt udover Aarhus, og ligger i en lejelighed hvor der udover dit værelse er adgang til stort badeværelse, en fællesstue med plads til både spisebord og sofaområde, en stor lukket altan, gang og køkken med opvaskemaskine, vaskeri og cykelparkering i kælderen.  Derudover har jeg selvfølgelig også et værelse.  Jeg er 26 år, og lærerstuderende, der lader op hjemme, så det er vigtigt for mig at mit hjem er en rar base, hvor der er nogenlunde rent og rydeligt, og relativt stille. Der er altid plads til gæster, og fester af og til hvis vi aftaler det. Jeg håber du vil være med til at skabe et rart hjem for os begge. Der bliver rig mulighed for at du kan være med til at præge fællesrummene. Jeg forventer at du vil prioriterer at vi spiser sammen, drikke en kop kaffe eller andet fælles et par gange om måneden. Køkkenet er vegansk, hvad du spiser når du ikke er her, vil jeg ikke blande mig i. Jeg bruger udover tid på studiet, tid på at gå ture i naturen, lave studiepolitik, hænge ud med mine venner, ser for mange tv serier,  prøver at holde mine potteplanter i live, og lave mad i køkkenet mens jeg hører p1.  Udover mig bor har en halvgammel kat, der elsker opmærksomhed, så du skal kunne leve sammen med en kat, og måske have lyst til at ae den af og til.  Prisen er inklusiv alt, også internet og vaskeri. Udlejes tidsbegrænset til 1.7.2020                                                                                                                                                                                      Forudbetalt leje: 0                                  Depositum: 6.000                                  A/C-forbrug: Kontakt udlejer                              Ledig: 1. april 2019                                  Indrykket: 15. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1505136"
4.032 kr/md,Under 1 år,Værelse,Aarhus C,18 m²,1 værelser,"Værelse, 8000 Aarhus C.                          Antal værelser: 1  Antal m2: 18  Husleje. 4.032 kr.  Post nummer: 8000  By: Aarhus C                                                                                                                                                                                      Forudbetalt leje: 12.096                                  Depositum: 4.032                                  A/C-forbrug: Kontakt udlejer                              Ledig: 1. april 2019                                  Indrykket: 15. februar 2019                              Muligvis tilladt - spørg udlejer                               Sagsnummer: 1505834"
3.000 kr/md,Ubegrænset,Værelse,Åbyhøj,15 m²,1 værelser,"Værelse, Henrik Hertz Vej, 8230 Åbyhøj, etage: st Stuen.                          Antal værelser: 1  Antal m2: 15  Husleje. 3.000 kr.  Post nummer: 8230  By: Åbyhøj                                                                                                                                            Lejemålet udlejes møbleret                                                Forudbetalt leje: 3.000                                  Depositum: 3.000                                  A/C-forbrug: Kontakt udlejer                              Ledig: 1. marts 2019                                  Indrykket: 15. februar 2019                              Muligvis tilladt - spørg udlejer                               Sagsnummer: 1505792"
15.125 kr/md,Ubegrænset,Lejlighed,Aarhus C,121 m²,3 værelser,"Lejlighed, Guldsmedgade, 8000 Aarhus C, etage: 2. tv.                          Fantastisk lejlighed med 6 værelser, perfekt til deling.   Lejligheden er indrettet med stort spisekøkken (inkl. hårde hvidevarer og opvaskemaskine), et lækkert badeværelse, samt vaskemaskine og tørretumbler.   Lejligheden er indflytningsklar fra den 3. december 2018.   En lejlighed der skal ses på Århus bedste beliggenhed.   Udover lejen betales   Aconto varme kr. 600                                                                                                                                            Delevenlig                                                                                                                        Forudbetalt leje: 15.125                                  Depositum: 45.375                                  A/C-forbrug: 600                              Ledig: Straks                                  Indrykket: 15. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1491918"
4.277 kr/md,Ubegrænset,Lejlighed,Mørke,87 m²,3 værelser,"Lejlighed, Præstevænget, 8544 Mørke.                          Antal værelser: 3  Antal m2: 87  Husleje. 4.277 kr.  Indskud: 19.904 kr.  Post nummer: 8544  By: Mørke  Denne bolig er almennyttig, og boligselskabet kan kræve opskrivning for at kunne søge den.                                                                                                                                                                                      Forudbetalt leje: Kontakt udlejer                                  Depositum: 19.904                                  A/C-forbrug: Kontakt udlejer                              Ledig: Straks                                  Indrykket: 15. februar 2019                              Husdyr tilladt Ét husdyr tilladt                              Sagsnummer: 1505815"
14.500 kr/md,Ubegrænset,Lejlighed,Aarhus C,112 m²,4 værelser,"Lejlighed, Thit Jensens Gade, 8000 Aarhus C, etage: 1. th.                          Havneholmen ligger lige ud til vandet på Aarhus Ø.  Med en lejlighed her er du sikret et hjem på én af Aarhus’ mest attraktive adresser. Aarhus Ø er i imponerende udvikling, og der er skabt et smukt visuelt og funktionelt samspil mellem byen, havnen og bugten. Området byder på en buffet af smuk arkitektur, spændende kulturelle tilbud, restauranter, cafeer, butikker og aktiviteter for smag.                                                                                                                                            Ligger i naturskønt område                                                      Se plantegning                                    Forudbetalt leje: 14.500                                  Depositum: 43.500                                  A/C-forbrug: Kontakt udlejer                              Ledig: Straks                                  Indrykket: 15. februar 2019                              Muligvis tilladt - spørg udlejer                               Sagsnummer: 1408086"
6.950 kr/md,Ubegrænset,Lejlighed,Randers C,132 m²,5 værelser,"Lejlighed, Søren Møllers Gade, 8900 Randers C.                          Antal værelser: 5  Antal m2: 132  Husleje. 6.950 kr.  Post nummer: 8900  By: Randers C                                                                                                                                                                                      Forudbetalt leje: 0                                  Depositum: Kontakt udlejer                                  A/C-forbrug: 1.300                              Ledig: Straks                                  Indrykket: 15. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1497341"
8.750 kr/md,Ubegrænset,Lejlighed,Aarhus C,70 m²,2 værelser,"Lejlighed, Finderupvej, 8000 Aarhus C, etage: ST.                          Nu kan vi tilbyde denne lækre 2 værelses lejlighed beliggede i populær ejendom.  Lejligheden er godt indrettet med entré med adgang til soveværelse. Lækkert badeværelse med vaskemaskine og tørretumbler. Køkken i delvis åben forbindelse med dejlig opholdsstue hvor der er udgang til lækker stor terrasse. Der er parketgulve i lejligheden og gulvvarme i alle rum.  Super flotte fællesarealer med store terrasser.                                                                                                                                                                                      Forudbetalt leje: 8.750                                  Depositum: 26.250                                  A/C-forbrug: 750                              Ledig: Straks                                  Indrykket: 15. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1495619"
11.000 kr/md,Ubegrænset,Lejlighed,Aarhus C,88 m²,3 værelser,"Lejlighed, Finderupvej, 8000 Aarhus C, etage: 2.                          Med rigtig god beliggenhed i cykelafstand til centrum og til Aarhus store uddannelsessteder kan vi tilbyde denne dejlige 3 værelses lejlighed. Lejligheden henvender sig til det unge par eller til 2, der ønsker at dele lejlighed.  Lejligheden er indrettet med 2 gode værelser. Lækkert badeværelse med vaskemaskine og tørretumbler. Flot hvidt køkken i tidsløst design og med opvaskemaskine. Køkken er i åbent forbindelse med dejlig opholdsstue, hvorfra der er udgang til stor lækker altan.  Der er gulvvarme overalt i lejligheden.  Til ejendommen hører store flotte fællesarealer med terrasser og grønne arealer.                                                                                                                                            Delevenlig                                                                                                                        Forudbetalt leje: 11.000                                  Depositum: 33.000                                  A/C-forbrug: 750                              Ledig: Straks                                  Indrykket: 15. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1495618"
8.992 kr/md,Ubegrænset,Lejlighed,Viby J,83 m²,3 værelser,"Lejlighed, Holme Møllevej, 8260 Viby J.                          Antal værelser: 3  Antal m2: 83  Husleje. 8.992 kr.  Indskud: 53.952 kr.  Post nummer: 8260  By: Viby J                                                                                                                                    Energimærke:                                                                                                  Forudbetalt leje: Kontakt udlejer                                  Depositum: 53.952                                  A/C-forbrug: 650                              Ledig: Straks                                  Indrykket: 27. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1497248"
4.900 kr/md,Ubegrænset,Lejlighed,Randers C,87 m²,3 værelser,"Lejlighed, Fyensgade, 8900 Randers C.                          Antal værelser: 3  Antal m2: 87  Husleje. 4.900 kr.  Indskud: 14.700 kr.  Post nummer: 8900  By: Randers  Hvis du er interesseret i lejemålet eller vil se flere detaljer, kan du klikke på knappen til højre.                                                                                                                                    Energimærke:                                                                                                  Forudbetalt leje: 14.700                                  Depositum: 14.700                                  A/C-forbrug: 800                              Ledig: Straks                                  Indrykket: 15. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1394239"
8.900 kr/md,Ubegrænset,Lejlighed,Aarhus N,69 m²,3 værelser,"Lejlighed, Brendstrupgårdsvej, 8200 Aarhus N.                          Antal værelser: 3  Antal m2: 69  Husleje. 8.900 kr.  Indskud: 26.700 kr.  Post nummer: 8200  By: Aarhus N  Hvis du er interesseret i lejemålet eller vil se flere detaljer, kan du klikke på knappen til højre.                                                                                                                                                                                      Forudbetalt leje: Kontakt udlejer                                  Depositum: 26.700                                  A/C-forbrug: 800                              Ledig: Straks                                  Indrykket: 15. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1491319"
4.900 kr/md,Ubegrænset,Lejlighed,Randers C,87 m²,3 værelser,"Lejlighed, Fyensgade, 8900 Randers C.                          Antal værelser: 3  Antal m2: 87  Husleje. 4.900 kr.  Indskud: 14.700 kr.  Post nummer: 8900  By: Randers  Hvis du er interesseret i lejemålet eller vil se flere detaljer, kan du klikke på knappen til højre.                                                                                                                                                                                      Forudbetalt leje: 14.700                                  Depositum: 14.700                                  A/C-forbrug: 997                              Ledig: Straks                                  Indrykket: 15. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1394248"
